server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,cipher,resumption,enabledExtendedMasterSecret,page,connectionsTotal,seconds,bytes/connection
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client,-,new,false,-,3328,31,0
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client,-,new,false,huge,182,31,104857740
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client,-,new,false,large,1188,31,10485899
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client,-,new,false,medium,2958,31,524425
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client,-,new,false,small,3099,31,10376
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,-,41124,31,0
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,huge,1,60,0
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,large,3,60,6990599
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,medium,1,60,0
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,small,7,60,8893
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,false,-,5000,31,0
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,false,huge,186,31,104857740
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,false,large,1363,31,10485899
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,false,medium,4297,31,524425
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,false,small,4587,31,10376
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,false,-,16378,32,0
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,false,huge,4,60,78643305
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,false,large,12,60,9612074
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,false,medium,1,60,0
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,false,small,5,60,8300
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,-,5098,31,0
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,huge,189,31,104857740
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,large,1379,31,10485899
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,medium,4300,31,524425
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,small,4609,31,10376
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,-,16378,32,0
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,huge,2,60,52428870
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,large,2,60,5242949
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,medium,4,60,393318
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,small,4,60,7782
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,-,10847,31,0
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,huge,194,31,104857740
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,large,1636,31,10485899
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,medium,7715,31,524425
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,small,9100,31,10376
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,-,41317,31,0
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,huge,3,61,69905160
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,large,11,60,9532635
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,medium,3,60,349616
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,small,6,60,8646
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client,-,new,false,-,3292,31,0
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client,-,new,false,huge,177,31,104857740
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client,-,new,false,large,1176,31,10485899
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client,-,new,false,medium,2938,31,524425
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client,-,new,false,small,3084,31,10376
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,-,39719,31,0
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,huge,6,61,87381450
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,large,1,60,0
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,medium,10,60,471982
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,small,2,60,5188
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,-,5146,31,0
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,huge,179,31,104857740
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,large,1334,31,10485899
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,medium,4308,31,524425
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,small,4647,31,10376
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,-,39454,31,0
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,huge,4,60,78643305
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,large,1,60,0
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,medium,1,60,0
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,small,2,60,5188
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,-,5115,31,0
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,huge,177,31,104857740
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,large,1323,31,10485899
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,medium,4285,31,524425
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,small,4630,31,10376
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,false,-,16377,33,0
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,false,huge,4,61,78643305
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,false,large,4,60,7864424
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,false,medium,1,60,0
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,false,small,1,60,0
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,false,-,10914,31,0
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,false,huge,173,31,104857740
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,false,large,1480,31,10485899
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,false,medium,7528,31,524425
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,false,small,9124,31,10376
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,false,-,38973,31,0
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,false,huge,5,61,83886192
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,false,large,1,60,0
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,false,medium,3,60,349616
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,false,small,3,60,6917
tls-tomcat,11,-,need,server,client,-,new,false,-,1661,31,0
tls-tomcat,11,-,need,server,client,-,new,false,huge,1719,31,0
tls-tomcat,11,-,need,server,client,-,new,false,large,1715,31,0
tls-tomcat,11,-,need,server,client,-,new,false,medium,1712,31,0
tls-tomcat,11,-,need,server,client,-,new,false,small,1703,31,0
tls-tomcat,11,-,need,server,client,-,reuse,false,-,29871,31,0
tls-tomcat,11,-,need,server,client,-,reuse,false,huge,22076,31,0
tls-tomcat,11,-,need,server,client,-,reuse,false,large,22134,31,0
tls-tomcat,11,-,need,server,client,-,reuse,false,medium,22085,31,0
tls-tomcat,11,-,need,server,client,-,reuse,false,small,21907,31,0
tls-tomcat,11,-,need,server,client-2048,-,new,false,-,2029,31,0
tls-tomcat,11,-,need,server,client-2048,-,new,false,huge,2095,31,0
tls-tomcat,11,-,need,server,client-2048,-,new,false,large,2094,31,0
tls-tomcat,11,-,need,server,client-2048,-,new,false,medium,2085,31,0
tls-tomcat,11,-,need,server,client-2048,-,new,false,small,2075,31,0
tls-tomcat,11,-,need,server,client-2048,-,reuse,false,-,16376,31,0
tls-tomcat,11,-,need,server,client-2048,-,reuse,false,huge,21879,31,0
tls-tomcat,11,-,need,server,client-2048,-,reuse,false,large,21905,31,0
tls-tomcat,11,-,need,server,client-2048,-,reuse,false,medium,22237,31,0
tls-tomcat,11,-,need,server,client-2048,-,reuse,false,small,22093,31,0
tls-tomcat,11,-,need,server-2048,client,-,new,false,-,3222,31,0
tls-tomcat,11,-,need,server-2048,client,-,new,false,huge,3274,31,0
tls-tomcat,11,-,need,server-2048,client,-,new,false,large,3271,31,0
tls-tomcat,11,-,need,server-2048,client,-,new,false,medium,3271,31,0
tls-tomcat,11,-,need,server-2048,client,-,new,false,small,3257,31,0
tls-tomcat,11,-,need,server-2048,client,-,reuse,false,-,30122,31,0
tls-tomcat,11,-,need,server-2048,client,-,reuse,false,huge,22342,31,0
tls-tomcat,11,-,need,server-2048,client,-,reuse,false,large,22339,31,0
tls-tomcat,11,-,need,server-2048,client,-,reuse,false,medium,22302,31,0
tls-tomcat,11,-,need,server-2048,client,-,reuse,false,small,22402,31,0
tls-tomcat,11,-,need,server-2048,client-2048,-,new,false,-,4956,31,0
tls-tomcat,11,-,need,server-2048,client-2048,-,new,false,huge,4921,31,0
tls-tomcat,11,-,need,server-2048,client-2048,-,new,false,large,4934,31,0
tls-tomcat,11,-,need,server-2048,client-2048,-,new,false,medium,4917,31,0
tls-tomcat,11,-,need,server-2048,client-2048,-,new,false,small,4928,31,0
tls-tomcat,11,-,need,server-2048,client-2048,-,reuse,false,-,29258,31,0
tls-tomcat,11,-,need,server-2048,client-2048,-,reuse,false,huge,21982,31,0
tls-tomcat,11,-,need,server-2048,client-2048,-,reuse,false,large,21946,31,0
tls-tomcat,11,-,need,server-2048,client-2048,-,reuse,false,medium,21908,31,0
tls-tomcat,11,-,need,server-2048,client-2048,-,reuse,false,small,21667,31,0
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server,client,-,new,false,-,3317,31,0
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server,client,-,new,false,huge,182,31,104857740
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server,client,-,new,false,large,1185,31,10485899
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server,client,-,new,false,medium,2936,31,524425
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server,client,-,new,false,small,3073,31,10376
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,-,41160,31,0
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,huge,9,61,93206880
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,large,3,60,6990599
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,medium,4,60,393318
