server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,cipher,resumption,enabledExtendedMasterSecret,openSSLClientVersion,page,connections/duration,duration,bytes/connection
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,true,1.0.2p,-,5368,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,true,1.0.2p,huge,192,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,true,1.0.2p,large,1412,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,true,1.0.2p,medium,4458,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,true,1.0.2p,small,5041,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,true,1.1.1,-,4916,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,true,1.1.1,huge,189,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,true,1.1.1,large,1383,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,true,1.1.1,medium,4274,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,true,1.1.1,small,4593,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,true,1.0.2p,-,55540,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,true,1.0.2p,huge,14,62,97367901
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,true,1.0.2p,large,51,61,10280293
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,true,1.0.2p,medium,37,60,510251
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,true,1.0.2p,small,29,60,10018
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,true,1.1.1,-,40021,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,true,1.1.1,huge,4,61,78643305
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,true,1.1.1,large,24,60,10048986
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,true,1.1.1,medium,10,60,471982
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,true,1.1.1,small,6,60,8646
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,true,1.0.2p,-,5399,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,true,1.0.2p,huge,197,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,true,1.0.2p,large,1419,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,true,1.0.2p,medium,4438,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,true,1.0.2p,small,5022,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,true,1.1.1,-,4996,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,true,1.1.1,huge,195,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,true,1.1.1,large,1391,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,true,1.1.1,medium,4233,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,true,1.1.1,small,4490,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,true,1.0.2p,-,55203,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,true,1.0.2p,huge,2,61,52428870
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,true,1.0.2p,large,39,60,10217029
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,true,1.0.2p,medium,17,60,493576
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,true,1.0.2p,small,17,60,9765
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,true,1.1.1,-,16376,32,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,true,1.1.1,huge,15,62,97867224
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,true,1.1.1,large,8,61,9175161
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,true,1.1.1,medium,2,60,262212
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,true,1.1.1,small,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,true,1.0.2p,-,12293,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,true,1.0.2p,huge,196,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,true,1.0.2p,large,1536,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,true,1.0.2p,medium,7400,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,true,1.0.2p,small,10413,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,true,1.1.1,-,10687,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,true,1.1.1,huge,200,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,true,1.1.1,large,1633,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,true,1.1.1,medium,7640,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,true,1.1.1,small,8888,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,true,1.0.2p,-,54631,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,true,1.0.2p,huge,2,60,52428870
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,true,1.0.2p,large,7,60,8987913
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,true,1.0.2p,medium,4,60,393318
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,true,1.0.2p,small,15,60,9684
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,true,1.1.1,-,16375,32,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,true,1.1.1,huge,3,60,69905160
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,true,1.1.1,large,4,60,7864424
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,true,1.1.1,medium,2,60,262212
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,true,1.1.1,small,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,true,1.0.2p,-,3407,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,true,1.0.2p,huge,184,31,104857740
